district,prec1,prec2,prec3,prec4,prec5,prec6,prec7,prec8,prec9,prec10,prec11,prec12,prec13,prec14,prec15
1,1,22,25,27,31,,,,,,,,,,
2,1,4,5,8,50,,,,,,,,,,
3,12,17,41,42,45,,,,,,,,,,
4,10,12,15,17,28,,,,,,,,,,
5,1,2,26,31,34,,,,,,,,,,
6,16,17,21,22,26,,,,,,,,,,
7,1,2,3,4,6,,,,,,,,,,
8,3,4,7,9,19,20,26,30,32,35,,,,,
9,5,8,9,11,12,13,15,19,24,29,,,,,
10,3,6,8,10,21,25,27,30,32,33,,,,,
11,2,4,14,16,18,20,24,25,26,27,,,,,
12,2,4,5,6,8,10,11,12,14,24,27,32,,,
13,1,6,10,11,12,16,23,32,34,35,,,,,
14,1,3,7,13,16,20,22,27,30,35,,,,,
15,1,2,4,9,11,16,17,18,22,25,,,,,
16,5,6,7,8,11,12,16,17,25,26,,,,,
17,1,2,3,4,5,8,12,13,26,27,,,,,
18,3,4,7,9,12,16,17,19,22,27,,,,,
19,6,7,9,12,13,16,20,24,26,28,,,,,
20,1,4,5,7,8,16,21,25,26,33,,,,,
21,1,5,8,10,11,15,16,20,21,24,,,,,
22,2,5,13,14,19,23,25,26,27,28,,,,,
23,2,9,11,12,13,15,17,20,22,28,,,,,
24,3,7,9,11,14,20,22,23,24,25,,,,,
25,2,6,10,12,14,18,20,26,27,30,,,,,
26,5,9,15,20,21,24,25,26,28,30,,,,,
27,2,4,5,7,9,20,21,24,29,30,,,,,
28,1,5,9,10,12,17,18,20,21,22,,,,,
29,1,2,4,5,10,11,13,15,17,19,22,23,,,
30,5,6,8,9,13,14,15,18,23,25,,,,,
31,2,4,6,7,9,12,14,18,22,27,,,,,
32,1,4,10,11,12,14,19,21,22,29,,,,,
33,3,5,9,12,14,20,23,24,29,30,,,,,
34,2,7,9,13,15,18,22,24,28,33,,,,,
35,1,6,10,12,14,15,17,20,21,23,,,,,
36,2,4,5,7,9,12,15,17,21,22,,,,,
37,2,5,9,13,15,16,19,21,22,24,,,,,
38,4,6,7,10,12,13,16,17,18,21,,,,,
39,2,3,5,8,13,15,16,20,23,,,,,,
40,3,5,8,12,15,16,18,20,22,25,28,,,,
41,1,2,5,6,9,11,12,18,22,23,,,,,
42,5,8,12,15,20,22,26,30,32,37,,,,,
43,3,5,11,13,18,20,24,27,33,,,,,,
44,2,6,13,16,17,20,21,23,31,,,,,,
45,2,4,5,8,10,11,12,14,18,22,25,30,,,
46,1,10,12,14,15,16,17,21,24,25,27,28,,,
47,4,5,9,12,15,17,19,22,23,24,25,28,,,
48,2,3,4,5,6,8,9,10,11,12,13,16,17,18,19
49,4,7,15,18,21,34,35,,,,,,,,
50,1,4,8,10,22,44,46,,,,,,,,
51,1,7,8,14,34,36,38,43,47,50,,,,,
52,1,2,3,5,7,9,11,16,24,54,,,,,
53,1,3,6,8,14,21,22,31,34,38,,,,,
54,1,2,3,4,7,46,47,49,50,53,,,,,
55,1,2,5,6,7,8,10,11,12,24,25,37,,,
56,1,2,3,4,5,6,7,13,24,30,,,,,
57,1,2,3,4,5,6,7,8,9,14,22,,,,
58,1,2,3,4,5,8,9,11,,,,,,,
59,3,4,5,7,16,19,22,26,,,,,,,
60,1,3,11,12,30,,,,,,,,,,
61,3,7,8,14,37,,,,,,,,,,
62,3,4,6,23,25,,,,,,,,,,
63,4,11,12,20,28,,,,,,,,,,
64,3,28,37,39,40,,,,,,,,,,
65,8,18,19,52,,,,,,,,,,,
66,1,2,3,4,5,7,9,10,15,42,,,,,
67,1,3,4,5,8,9,11,13,15,18,19,26,,,
68,2,3,6,9,13,,,,,,,,,,
69,1,6,8,20,30,32,,,,,,,,,
70,1,2,3,5,6,7,8,10,11,22,26,,,,
71,11,19,26,31,33,,,,,,,,,,
72,1,2,39,45,66,,,,,,,,,,
73,3,4,5,6,7,8,10,13,14,22,23,25,,,
74,2,23,26,29,31,,,,,,,,,,
75,1,12,25,36,38,,,,,,,,,,
76,1,6,25,39,42,44,,,,,,,,,
77,1,2,3,4,6,8,20,22,26,,,,,,
78,1,2,3,20,74,,,,,,,,,,
79,2,3,8,10,11,,,,,,,,,,
80,1,2,10,13,40,42,,,,,,,,,
81,3,6,15,17,34,,,,,,,,,,
82,2,3,7,8,11,13,22,,,,,,,,
83,1,2,21,23,,,,,,,,,,,
84,3,4,6,7,9,17,23,,,,,,,,
85,1,3,4,5,6,9,10,12,13,46,47,,,,
86,1,2,3,4,35,37,,,,,,,,,
87,1,2,3,4,5,6,7,27,28,,,,,,
88,5,8,11,23,32,,,,,,,,,,
89,2,3,4,7,8,11,12,19,24,27,28,33,,,
90,2,4,5,9,10,11,13,17,20,21,,,,,
91,2,3,4,5,6,10,12,14,27,34,,,,,
92,1,2,3,4,5,15,17,23,,,,,,,
93,1,2,3,4,7,8,10,13,14,31,33,,,,
94,6,11,22,27,45,,,,,,,,,,
95,1,2,3,4,5,6,10,31,,,,,,,
96,1,2,3,16,17,40,41,,,,,,,,
97,2,3,9,10,14,18,,,,,,,,,
98,1,3,4,5,6,7,8,9,11,12,14,23,,,
99,6,14,16,21,36,,,,,,,,,,
100,16,18,21,22,30,31,32,33,,,,,,,
101,1,2,3,6,7,24,27,42,46,,,,,,
102,1,2,3,4,5,6,10,31,39,,,,,,
103,3,5,9,10,12,30,,,,,,,,,
104,1,8,9,18,19,21,,,,,,,,,
105,2,4,11,15,17,24,25,32,35,39,,,,,
106,1,2,3,8,10,11,14,17,,,,,,,
107,1,2,3,4,5,6,7,8,22,24,,,,,
108,1,2,3,4,5,6,8,21,,,,,,,
109,1,2,4,5,12,13,31,32,,,,,,,
110,5,10,27,30,41,,,,,,,,,,
111,1,2,3,5,6,7,8,9,30,35,,,,,
112,1,2,3,4,5,16,23,27,,,,,,,
113,1,2,4,7,8,9,10,12,13,14,15,17,18,19,21
114,1,5,7,8,35,37,42,,,,,,,,
115,3,5,15,16,29,32,35,,,,,,,,
116,1,2,3,4,5,8,17,20,22,23,,,,,
117,19,23,29,30,31,32,51,,,,,,,,
118,1,28,,,,,,,,,,,,,
119,21,35,,,,,,,,,,,,,
